Date,Open,High,Low,Close*,Adj Close**,Volume
2022-09-17,6.9563,7.0416,6.9397,6.9949,6.9949,253232272
2022-09-16,6.9269,6.9690,6.7376,6.8968,6.8968,303068671
2022-09-15,7.2034,7.2192,6.8939,6.9265,6.9265,372919866
2022-09-14,7.0750,7.2833,7.0508,7.2032,7.2032,318044357
2022-09-13,7.6620,7.9188,7.0508,7.1340,7.1340,478905956
2022-09-12,7.6984,8.0340,7.5873,7.6618,7.6618,479107652
2022-09-11,7.7847,7.8542,7.5881,7.6982,7.6982,275936800
2022-09-10,7.7676,7.8589,7.6208,7.7857,7.7857,312935484
2022-09-09,7.3899,7.9175,7.3750,7.7709,7.7709,495582524
2022-09-08,7.1979,7.4401,7.0824,7.3904,7.3904,371232846
2022-09-07,6.8776,7.2838,6.7942,7.1985,7.1985,352829091
2022-09-06,7.3666,7.6788,6.8720,6.8790,6.8790,452512755
2022-09-05,7.3720,7.6133,7.2818,7.3642,7.3642,348385498
2022-09-04,7.2851,7.3767,7.1818,7.3704,7.3704,251349147
2022-09-03,7.3017,7.3039,7.2046,7.2852,7.2852,228794553
2022-09-02,7.1856,7.5531,7.1307,7.3021,7.3021,384235184
2022-09-01,7.0270,7.1924,6.8925,7.1867,7.1867,293892711
2022-08-31,7.0031,7.2707,6.9967,7.0269,7.0269,271811037
2022-08-30,7.2818,7.3644,6.9170,7.0034,7.0034,292180056
2022-08-29,6.8446,7.2932,6.8307,7.2825,7.2825,311493145
2022-08-28,7.0492,7.1436,6.8390,6.8432,6.8432,232920698
2022-08-27,6.9239,7.0860,6.8358,7.0487,7.0487,309589522
2022-08-26,7.5859,7.6514,6.8919,6.9240,6.9240,409439777
2022-08-25,7.5728,7.7431,7.4866,7.5872,7.5872,260711829
2022-08-24,7.6383,7.7313,7.4414,7.5724,7.5724,301128081
2022-08-23,7.4034,7.6968,7.2047,7.6384,7.6384,357178869
2022-08-22,7.4375,7.4388,7.0220,7.4020,7.4020,321523178
2022-08-21,7.2313,7.5210,7.1851,7.4389,7.4389,259531293
2022-08-20,7.3239,7.5063,7.0673,7.2331,7.2331,363061870
2022-08-19,8.0925,8.0925,7.2693,7.3255,7.3255,529309050
2022-08-18,8.3639,8.5577,8.0937,8.0946,8.0946,348830388
2022-08-17,8.8421,9.1506,8.3489,8.3598,8.3598,466651848
2022-08-16,8.7967,8.8974,8.6588,8.8426,8.8426,386335442
2022-08-15,8.9594,9.3696,8.6538,8.8024,8.8024,515446124
2022-08-14,9.2921,9.5443,8.8671,8.9585,8.9585,553281526
2022-08-13,9.4788,9.6566,9.2682,9.2904,9.2904,359798888
2022-08-12,9.2085,9.4850,9.0721,9.4795,9.4795,544819917
2022-08-11,9.5036,9.6237,9.1527,9.2090,9.2090,679395824
2022-08-10,8.9068,9.6167,8.5735,9.5021,9.5021,826401352
2022-08-09,9.2695,9.4098,8.7002,8.9070,8.9070,672012621
2022-08-08,8.6472,9.3573,8.6470,9.2683,9.2683,716347082
2022-08-07,8.5176,8.8603,8.3861,8.6464,8.6464,343345306
2022-08-06,8.8123,8.8592,8.5093,8.5160,8.5160,388196556
2022-08-05,8.0869,8.8144,8.0793,8.8135,8.8135,517996242
2022-08-04,8.0064,8.2564,7.9076,8.0893,8.0893,403709111
2022-08-03,7.9389,8.4062,7.7164,8.0075,8.0075,505613974
2022-08-02,8.1941,8.2535,7.7048,7.9390,7.9390,620430497
2022-08-01,8.6453,8.9425,8.0772,8.1940,8.1940,652869187
2022-07-31,8.2092,9.1879,8.1148,8.6457,8.6457,980832901
2022-07-30,8.1886,8.7820,8.1817,8.2086,8.2086,826438675
2022-07-29,7.8585,8.4040,7.7872,8.1856,8.1856,836897631
2022-07-28,7.6622,8.0348,7.5092,7.8612,7.8612,888303918
2022-07-27,6.7694,7.6664,6.6628,7.6664,7.6664,604025366
2022-07-26,6.7705,6.7739,6.5475,6.7666,6.7666,405400043
2022-07-25,7.4138,7.4250,6.7668,6.7692,6.7692,436907555
2022-07-24,7.3314,7.5710,7.3250,7.4139,7.4139,378461279
2022-07-23,7.3053,7.4780,7.1145,7.3315,7.3315,377301985
2022-07-22,7.5293,7.8415,7.2807,7.3094,7.3094,494456039
2022-07-21,7.4648,7.5750,7.2088,7.5292,7.5292,459368189
2022-07-20,7.8025,8.0657,7.4081,7.4645,7.4645,707185779
2022-07-19,7.6772,7.9912,7.5312,7.8026,7.8026,835371258
2022-07-18,6.9237,7.6842,6.9226,7.6842,7.6842,606829085
